Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M1.3CB700.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,1.3,-1,300,700,700,FALSE,TRUE,FALSE,0.020117,5590800,2.7294,7.7558,0.31023,25,0.176178258
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M1.5CB700.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,1.5,-1,300,700,700,FALSE,TRUE,FALSE,0.019711,5458200,2.6647,7.779,0.31116,25,0.176178258
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M1.1CB700.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,1.1,-1,300,700,700,FALSE,TRUE,FALSE,0.020689,5780300,2.8219,7.8347,0.30134,26,0.183225388
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M0.9CB700.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,0.9,-1,300,700,700,FALSE,TRUE,FALSE,0.022044,6255300,3.0538,12.159,0.40529,30,0.211413909
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M0.7CB700.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,0.7,-1,300,700,700,FALSE,TRUE,FALSE,0.023004,6603300,3.2237,12.124,0.3911,31,0.21846104
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M1.5CB400.I29PA168Rot-1Rout500.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,1.5,-1,300,500,400,FALSE,FALSE,TRUE,0.022907,4158400,2.0301,7.5192,0.23497,32,0.22550817
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M0.5CB700.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,0.5,-1,300,700,700,FALSE,TRUE,FALSE,0.02444,7157100,3.494,13.003,0.39404,33,0.2325553
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M1.5CB450.I29PA168Rot-1Rout600.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,1.5,-1,300,600,450,FALSE,FALSE,TRUE,0.02374,5506700,2.6883,6.0514,0.17798,34,0.239602431
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M0.7CB500.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,0.7,-1,300,700,500,FALSE,FALSE,TRUE,0.025063,7386200,3.6059,12.656,0.37224,34,0.239602431
B5-IRS1-Vsys10.198_LineC18O_21_Pix0.054as-0.041666749639012kmps_D300M1.1CB500.I29PA168Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW1.64_Beam0.448x0.294PA-20.29.fits,1.1,-1,300,700,500,FALSE,FALSE,TRUE,0.02376,6851100,3.3446,13.186,0.38783,34,0.239602431
