Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.5CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.5,-1,300,800,300,TRUE,FALSE,FALSE,0.019706,6400200,3.1493,0.14764,0.029529,5,0.021071702
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.4CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.4,-1,300,800,300,TRUE,FALSE,FALSE,0.019663,6466500,3.1819,0.1285,0.018357,7,0.029500383
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.4CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.4,-1,300,1000,300,TRUE,FALSE,FALSE,0.014034,5797600,2.8528,0.047268,0.0042971,11,0.046357745
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.3CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.3,-1,300,1000,300,TRUE,FALSE,FALSE,0.014021,5834300,2.8709,0.056452,0.005132,11,0.046357745
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.5CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.5,-1,300,1000,300,TRUE,FALSE,FALSE,0.014538,5886900,2.8967,0.060724,0.0055204,11,0.046357745
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.4CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.4,-1,300,900,300,TRUE,FALSE,FALSE,0.015044,5737100,2.823,0.078006,0.0070914,11,0.046357745
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.5CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.5,-1,300,900,300,TRUE,FALSE,FALSE,0.015537,5806900,2.8573,0.078201,0.0071092,11,0.046357745
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.6CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.6,-1,300,1000,300,TRUE,FALSE,FALSE,0.015369,6074600,2.9891,0.090517,0.0082288,11,0.046357745
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.6CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.6,-1,300,900,300,TRUE,FALSE,FALSE,0.016371,5966200,2.9358,0.09889,0.00899,11,0.046357745
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.0CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1,-1,300,700,300,TRUE,FALSE,FALSE,0.024478,6345400,3.1223,6.1993,0.51661,12,0.050572085
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.5CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.5,-1,300,700,300,TRUE,FALSE,FALSE,0.021678,5577400,2.7444,6.1226,0.47097,13,0.054786426
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.4CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.4,-1,300,700,300,TRUE,FALSE,FALSE,0.022032,5669900,2.7899,6.348,0.48831,13,0.054786426
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.9CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.9,-1,300,700,300,TRUE,FALSE,FALSE,0.025534,6658600,3.2765,6.5089,0.50069,13,0.054786426
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.2CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.2,-1,300,700,300,TRUE,FALSE,FALSE,0.023113,5949100,2.9273,6.8177,0.52444,13,0.054786426
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.1CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.1,-1,300,700,300,TRUE,FALSE,FALSE,0.02388,6156800,3.0295,7.0571,0.54286,13,0.054786426
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.3CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.3,-1,300,700,300,TRUE,FALSE,FALSE,0.022499,5790900,2.8495,6.5804,0.50619,13,0.054786426
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.9CB300.I44PA77Rot1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.9,1,300,800,300,TRUE,FALSE,FALSE,0.015524,5305400,2.6106,5.4309,0.31946,17,0.071643788
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.9CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.9,-1,300,800,300,TRUE,FALSE,FALSE,0.02096,6392400,3.1455,5.9185,0.32881,18,0.075858128
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.0CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1,-1,300,800,300,TRUE,FALSE,FALSE,0.020031,6099300,3.0013,5.7064,0.31702,18,0.075858128
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.2CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.2,-1,300,800,300,TRUE,FALSE,FALSE,0.018874,5737800,2.8234,5.5131,0.29016,19,0.080072469
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.1CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.1,-1,300,800,300,TRUE,FALSE,FALSE,0.0194,5902300,2.9043,5.7352,0.30185,19,0.080072469
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.8CB300.I44PA77Rot-1Rout700.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.8,-1,300,700,300,TRUE,FALSE,FALSE,0.027471,7222400,3.5539,10.306,0.54244,19,0.080072469
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.4CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.4,-1,300,1000,300,TRUE,FALSE,FALSE,0.015627,5717900,2.8136,2.9945,0.14972,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.2CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.2,-1,300,1000,300,TRUE,FALSE,FALSE,0.016058,5917700,2.9119,3.1326,0.15663,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.1CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.1,-1,300,1000,300,TRUE,FALSE,FALSE,0.016432,6075700,2.9896,3.2156,0.16078,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.9CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.9,-1,300,1000,300,TRUE,FALSE,FALSE,0.017698,6581300,3.2384,3.4004,0.17002,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.3CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.3,-1,300,900,300,TRUE,FALSE,FALSE,0.016467,5609200,2.7601,3.4647,0.17324,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.2CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.2,-1,300,900,300,TRUE,FALSE,FALSE,0.016779,5719700,2.8144,3.5718,0.17859,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.1CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.1,-1,300,900,300,TRUE,FALSE,FALSE,0.017192,5869100,2.888,3.689,0.18445,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.0CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1,-1,300,900,300,TRUE,FALSE,FALSE,0.017786,6070700,2.9872,3.8142,0.19071,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.9CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.9,-1,300,900,300,TRUE,FALSE,FALSE,0.018562,6344700,3.122,3.9444,0.19722,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.8CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.8,-1,300,800,300,TRUE,FALSE,FALSE,0.022162,6790700,3.3415,6.1809,0.30904,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.3CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.3,-1,300,1000,300,TRUE,FALSE,FALSE,0.015782,5801600,2.8548,3.0585,0.15293,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.0CB300.I44PA77Rot-1Rout1000.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1,-1,300,1000,300,TRUE,FALSE,FALSE,0.016978,6289800,3.095,3.3056,0.16528,20,0.084286809
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.3CB300.I44PA77Rot-1Rout800.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.3,-1,300,800,300,TRUE,FALSE,FALSE,0.01848,5618200,2.7645,5.3239,0.25352,21,0.08850115
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.4CB300.I44PA77Rot-1Rout900.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.4,-1,300,900,300,TRUE,FALSE,FALSE,0.016407,5555100,2.7334,3.8045,0.16541,23,0.09692983
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.1CB300.I44PA77Rot-1Rout600.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.1,-1,300,600,300,TRUE,FALSE,FALSE,0.22001,137760000,67.785,34834,44.774,778,3.278756875
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.9CB300.I44PA77Rot-1Rout500.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.9,-1,300,500,300,TRUE,FALSE,FALSE,0.25051,114960000,56.568,57038,59.789,954,4.020480795
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.3CB200.I44PA77Rot-1Rout900.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.3,-1,200,900,200,TRUE,FALSE,FALSE,0.074175,48408000,23.82,51668,50.114,1031,4.34498501
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M0.5CB200.I44PA77Rot-1Rout600.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,0.5,-1,200,600,200,TRUE,FALSE,FALSE,0.11662,54878000,27.004,104860,80.479,1303,5.491285614
IC348_MMS-Vsys8.76_LineC18O_21_Pix0.054as-0.041666787141436kmps_D300M1.3CB300.I44PA77Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.97_Beam0.559x0.394PA-9.44.fits,1.3,-1,300,400,300,TRUE,FALSE,FALSE,0.29314,77580000,38.174,98946,73.73,1342,5.655644892
