Cube Name,Mass,RotationDirection,Rin,Rout,CB,IRE?,Keplerian?,Blended?,Normalization Constant,Chi2,Reduced Chi2,Threshold Chi2,Threshold Reduced Chi2,ThresholdNumCells,ThresholdNumCellsOverBeamArea
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.5CB400.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.5,-1,300,400,400,FALSE,TRUE,FALSE,0.018234,7563200,3.6923,222.31,0.98367,226,0.937152632
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.7CB400.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.7,-1,300,400,400,FALSE,TRUE,FALSE,0.01646,7474400,3.6489,219.05,0.92036,238,0.986912949
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.9CB400.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.9,-1,300,400,400,FALSE,TRUE,FALSE,0.016429,7457300,3.6406,232.06,0.85004,273,1.132047206
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.5CB350.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.5,-1,300,400,350,FALSE,FALSE,TRUE,0.016786,7476300,3.6499,253.59,0.91218,278,1.152780671
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M1.1CB400.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,1.1,-1,300,400,400,FALSE,TRUE,FALSE,0.017275,7474800,3.6491,237.64,0.74031,321,1.331088473
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.3CB350.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.3,-1,300,400,350,FALSE,FALSE,TRUE,0.020354,7656700,3.7379,338.85,1.0491,323,1.339381859
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.7CB350.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.7,-1,300,400,350,FALSE,FALSE,TRUE,0.017076,7469000,3.6463,266.7,0.81064,329,1.364262017
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M1.3CB400.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,1.3,-1,300,400,400,FALSE,TRUE,FALSE,0.018468,7510700,3.6666,220.88,0.6222,355,1.472076037
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.5CB300.I34PA82Rot-1Rout300.Rin200._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.5,-1,200,300,300,FALSE,TRUE,FALSE,0.020078,7522200,3.6722,1376.3,3.7198,370,1.534276433
SVS13B-Vsys8.56_LineC18O_21_Pix0.054as-0.041666859479452kmps_D300M0.9CB350.I34PA82Rot-1Rout400.Rin300._IRE-T0Flare30Nprof-1.5Tprof0.0_Kep-T0Flare30Nprof-1.5Tprof0.0_LW0.82_Beam0.561x0.399PA-13.61.fits,0.9,-1,300,400,350,FALSE,FALSE,TRUE,0.018576,7520100,3.6712,299.14,0.79983,374,1.550863205
